Nome;Sobrenome;Posicao_Jogador;ID_Jogador;ID_Jogo;Data_Hora_Jogo;Nome_Time;Nome_Oponente;Casa;Minutos;Pontos;Assistencias;3PTS_Feitos;reboundsDefensive;reboundsOffensive;Rebotes
Vit;Krejci;G;1630249.0;22500783;11/02/2026;Trail Blazers;Timberwolves;0.0;19.58;17.0;1.0;3.0;1.0;0.0;1.0
Bones;Hyland;G;1630538.0;22500783;11/02/2026;Timberwolves;Trail Blazers;1.0;8.49;3.0;3.0;1.0;1.0;0.0;1.0
Scoot;Henderson;;1630703.0;22500783;11/02/2026;Trail Blazers;Timberwolves;0.0;18.5;18.0;2.0;3.0;3.0;1.0;4.0
Shaedon;Sharpe;G;1631101.0;22500783;11/02/2026;Trail Blazers;Timberwolves;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
Blake;Wesley;G;1631104.0;22500783;11/02/2026;Trail Blazers;Timberwolves;0.0;23.33;4.0;6.0;0.0;3.0;1.0;4.0
Kris;Murray;F;1631200.0;22500783;11/02/2026;Trail Blazers;Timberwolves;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
Javonte;Cooke;G;1631451.0;22500783;11/02/2026;Trail Blazers;Timberwolves;0.0;4.47;0.0;0.0;0.0;2.0;1.0;3.0
Rayan;Rupert;G-F;1641712.0;22500783;11/02/2026;Trail Blazers;Timberwolves;0.0;9.53;2.0;0.0;0.0;1.0;0.0;1.0
Toumani;Camara;F;1641739.0;22500783;11/02/2026;Trail Blazers;Timberwolves;0.0;32.05;9.0;2.0;2.0;5.0;3.0;8.0
Jaylen;Clark;G;1641740.0;22500783;11/02/2026;Timberwolves;Trail Blazers;1.0;7.35;5.0;1.0;1.0;2.0;0.0;2.0
Julian;Phillips;F;1641763.0;22500783;11/02/2026;Timberwolves;Trail Blazers;1.0;4.05;4.0;0.0;0.0;0.0;0.0;0.0
Donovan;Clingan;C;1642270.0;22500783;11/02/2026;Trail Blazers;Timberwolves;0.0;27.44;8.0;1.0;2.0;4.0;5.0;9.0
Enrique;Freeman;;1642402.0;22500783;11/02/2026;Timberwolves;Trail Blazers;1.0;3.46;0.0;0.0;0.0;1.0;0.0;1.0
Joan;Beringer;F;1642866.0;22500783;11/02/2026;Timberwolves;Trail Blazers;1.0;4.05;2.0;0.0;0.0;0.0;1.0;1.0
Hansen;Yang;;1642905.0;22500783;11/02/2026;Trail Blazers;Timberwolves;0.0;4.47;2.0;0.0;0.0;0.0;1.0;1.0
