Nome;Sobrenome;POS;player_id;image_path
Kevin;Huerter;G-F;1628989.0;assets/players/1628989.png
Kevin;Love;F-C;201567.0;assets/players/201567.png
Kevin;McCullar Jr.;G;1641755.0;assets/players/1641755.png
Kevon;Looney;F;1626172.0;assets/players/1626172.png
Keyonte;George;G;1641718.0;assets/players/1641718.png
Khaman;Maluach;C;1642863.0;assets/players/1642863.png
Khris;Middleton;F;203114.0;assets/players/203114.png
KJ;Simpson;G;1642354.0;assets/players/1642354.png
Klay;Thompson;G;202691.0;assets/players/202691.png
Kobe;Sanders;G;1642920.0;assets/players/1642920.png
Kobe;Bufkin;G;;perfiljogador.png
Kobe;Brown;F;1641738.0;assets/players/1641738.png
Koby;Brea;G;1642886.0;assets/players/1642886.png
Kon;Knueppel;G-F;1642851.0;assets/players/1642851.png
Kris;Dunn;G;1627739.0;assets/players/1627739.png
Kris;Murray;F;1631200.0;assets/players/1631200.png
Kristaps;Porzingis;F-C;;perfiljogador.png
Kyle;Kuzma;F;1628398.0;assets/players/1628398.png
Kyle;Filipowski;C;1642271.0;assets/players/1642271.png
Kyle;Anderson;F-G;203937.0;assets/players/203937.png
Kyle;Lowry;G;200768.0;assets/players/200768.png
Kyshawn;George;F;1642273.0;assets/players/1642273.png
Lachlan;Olbrich;C;1642950.0;assets/players/1642950.png
LaMelo;Ball;G;1630163.0;assets/players/1630163.png
Landry;Shamet;G;1629013.0;assets/players/1629013.png
Larry;Nance Jr.;F-C;1626204.0;assets/players/1626204.png
Lauri;Markkanen;F-C;1628374.0;assets/players/1628374.png
LeBron;James;F;2544.0;assets/players/2544.png
Leonard;Miller;F;1631159.0;assets/players/1631159.png
Liam;McNeeley;F;1642862.0;assets/players/1642862.png
Lindy;Waters III;F;1630322.0;assets/players/1630322.png
LJ;Cryer;G;;perfiljogador.png
Lonzo;Ball;G;1628366.0;assets/players/1628366.png
Luguentz;Dort;G;1629652.0;assets/players/1629652.png
Luka;Doncic;F-G;;perfiljogador.png
Luka;Garza;C;1630568.0;assets/players/1630568.png
Luke;Kornet;C-F;1628436.0;assets/players/1628436.png
Luke;Kennard;G;1628379.0;assets/players/1628379.png
Luke;Travers;F;1631247.0;assets/players/1631247.png
Mac;McClung;G;1630644.0;assets/players/1630644.png
Malaki;Branham;F;1631103.0;assets/players/1631103.png
Malevy;Leons;F;;perfiljogador.png
Malik;Monk;G;1628370.0;assets/players/1628370.png
Marcus;Smart;G;203935.0;assets/players/203935.png
Marcus;Sasser;G;1631204.0;assets/players/1631204.png
Mark;Williams;C;1631109.0;assets/players/1631109.png
Mark;Sears;G;1641813.0;assets/players/1641813.png
Marvin;Bagley III;F;1628963.0;assets/players/1628963.png
Mason;Plumlee;F-C;203486.0;assets/players/203486.png
Matas;Buzelis;F;1641824.0;assets/players/1641824.png
Matisse;Thybulle;G-F;1629680.0;assets/players/1629680.png
